# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Specifies how closely the camera follows the target object.;指定相机跟随目标对象的距离。
Use limit settings to constrain camera motion in the Toolbag viewport. Active limits always export to Marmoset Viewer regardless of this setting.;在 Toolbag 视图端口使用限制设置来限制相机运动. 活动限制总是导出到 Marmoset 查看器, 不论设置如何 。
Constrains camera panning either completely or to vertical motion only.;摄像头或者完全关闭 或者只有垂直运动。
Enforces a minimum orbit distance, specified by the "Orbit Near" value.;执行最小轨道距离,由"轨道近"值指定.
Enforces a maximum orbit distance, specified by the "Orbit Far" value.;执行最大轨道距离,由"轨道远"值指定.
Specifies the minimum orbit distance.;指定最小轨道距离。
Specifies the maximum orbit distance.;指定最大轨道距离。
Sets the "Orbit Near" value to the current orbit distance.;将“轨道近距离”值设定为当前轨道距离。
Sets the "Orbit Far" value to the current orbit distance.;设置当前轨道距离的“轨道远”值。
The minimum pitch angle, or vertical orbit, in degrees.;最小投球角度,或垂直轨道,以度计.
The maximum pitch angle, or vertical orbit, in degrees.;最大投球角度,或垂直轨道,以度计.
The minimum yaw angle, or horizontal orbit, in degrees.;最小的 ya角,或水平轨道,以度计.
The maximum yaw angle, or horizontal orbit, in degrees.;最大 ya角,或水平轨道,以度计.
Shifts the yaw values by a constant offset, in degrees. This is useful for easily re-orienting the yaw range.;以恒定偏移值移动 。 这对于易重定向的yaw范围有用.
The selected model animation has control of this value - user edits are disabled while this animation is active.;所选模型动画对此值有控制 - 用户编辑在此动画活动期间被禁用.
Controls how much of the scene is visible by setting the scale of the camera. Decreasing zooms into the scene, while increasing zooms out.;通过设定相机的尺度来控制场景的可见度. 缩小放大到现场,同时增加放大.
Previews the region of the viewport that will be present in exported screenshots and videos.;预览导出截图和视频中将显示的视图港区域。
Enables the depth of field effect, which blurs areas in front or behind the focus point. This setting has an adverse effect on performance.;启用字段效果的深度,这模糊了焦点前后的区域. 这种设置对性能有不利影响.
Enables the sticky focus feature, which maintains the point of focus after the camera is re-positioned.;启用粘性焦点功能,在相机重新定位后保持焦点.
Determines the location of the focal point in relation to the camera. This distance can also be set by middle-clicking on an object in the viewport.;确定相对于相机的焦点位置。 此距离也可以通过在视图端点中单击对象来设定.
Engages the focus tool, which allows you to click a point on the screen to set the focus distance.;使用焦点工具,使您可以点击屏幕上的点来设定焦点距离。
Controls distortion of the out of focus highlights near the edges of the frame.;控制偏移焦点的扭曲在帧边缘附近突出.
Determines the aperture shape, which controls the appearance of the out of focus highlights and lens flares. New shapes can be created and loaded as well.;确定孔径形状,用于控制焦距亮度和镜头耀斑的外观. 新的形状也可以创建和加载.
The ratio of focal length to aperture diameter. Lower numbers give more defocus.;焦距与孔径之比. 较低的数字使注意力更分散。
Load a custom aperture shape that controls the out of focus highlights and lens flares.;装入自定义的孔径形状,以控制焦点亮点和镜头照明弹的外移.
Horizontal distortion ratio for simulating anamorphic lens bokeh.;模拟无形镜头的横向扭曲率。
Sets the direction of the aperture shape for both out of focus highlights and lens flares.;设定焦亮度和镜头耀斑的孔径形状方向。
Sets the intensity of the lens flare effect.;设定镜头耀斑效果的强度。
Simulates a thin surface layer on the lens system, changing the color and appearance of lens flares.;模拟镜头系统中的薄表面层,改变镜头耀斑的颜色和外观.
Sets the size of the individual flares or "ghosts".;设定单个信号弹或"鬼"的大小.
Sets the fringe offset for the red channel.;设置红色通道的边缘偏移 。
Sets the fringe offset for the green channel.;设置绿色通道的边缘偏移 。
Sets the fringe offset for the blue channel.;设置蓝色通道的边缘偏移 。
Renders a motion blur effect for final render animations and stills.;让动画和静物产生模糊的效果
Allows the last animation frame to wrap back to the first frame for motion blur. This option works best for looping animations.;允许最后的动画框包回第一个框进行运动模糊. 此选项对循环动画最有效 。
Controls the quality of the motion blur. More samples results in smoother blur but longer renders.;控制运动质量模糊。 更多的样本导致更平滑的模糊,但时间更长。
Loads a post effect preset file.;装入邮件效果预设文件。
Saves a post effect preset file.;保存邮件效果预设文件。
Sets the method used to map high-dynamic-range values into low-dynamic range color space.;设置用于将高动力范围值映射到低动力范围色彩空间的方法.
Opens the curve editor, to manipulate the contrast of the render on a per-channel basis.;打开曲线编辑器,每个通道操纵渲染的对比度.
Sets the brightness of the render.;设置渲染的亮度。
Sets the color and intensity of the exposure effect.;设定曝光效果的颜色和强度。
Sets the brightness point for the brightest values. Increase to make the highlights brighter and decrease to recover clipped detail.;设置最亮值的亮度点。 增加使亮点更亮,减少则恢复剪切的细节。
Sets the brightness point for the darkest values. Increase to recover details in the shadows and decrease to crush the blacks.;设置最暗值的亮度点。 增加以恢复阴影中的细节,减少以粉碎黑人.
Sets the brightness point for the middle values.;设置中间值的亮度点。
Sets the level of micro-contrast. Increase to enhance details and decrease to soften the render.;设置微复数的级别。 增加以强化细节,减少软化渲染.
Sets the disparity of value between light and dark.;设定光和暗之间的值差异。
Sets the color and intensity of the contrast effect.;设置对比效果的颜色和强度。
Sets the color and intensity of the contrast center effect.;设置对比中心效应的颜色和强度。
Controls the vibrancy of color in the rendered image.;控制渲染图像中颜色的活力。
Sets the color and intensity of the saturation effect.;设置饱和效果的颜色和强度。
Sets the intensity of the sharpening effect, which increases the contrast of fine details to enhance acutance.;设定磨合效果的强度,这可以提高细细细节的对比度,以加强剪切.
Controls the maximum allowable amount of the sharpen effect. Lower values will prevent major contrast alterations to the image in some cases.;控制磨合效果的最大允许量。 降低值将防止在某些情况下对图像进行重大对比改变。
Sets the radius of the blur component of the bloom effect.;设置开花效果模糊部分的半径。
Sets the color and intensity of the bloom effect.;设置开花效果的颜色和强度。
Sets the intensity of the vignette effect, which darkens the edges of the frame.;设置 vignette 效果的强度,使框架边缘变暗.
Sets the color and intensity of the vignette effect.;设置 vignette 效果的颜色和强度。
Sets how harsh or smooth the falloff of the vignette effect appears.;设定 Vignette 效应的坠落有多严酷或平滑。
Sets the style of grain.;设置谷类的样式。
Toggles randomized preview of the grain effect.;切换任意预览 graft 效果 。
Sets the strength of the grain effect.;设定谷物效应的强度。
Sets the texture or coarseness of the grain effect.;设置谷物效果的纹理或粗糙度。
Sets the overall opacity of the scratches and stains.;设置划痕和污点的整体不透明。
Controls the amount scratches and stains visible in each frame.;控制每个框中可见的数量划痕和污点。
Controls the size of scratches and stains.;控制刮痕和污点的大小。
Determines the active channel.;确定活动频道。
Confirms changes and closes the curve editor.;确认更改并关闭曲线编辑器。
Resets curve adjustments in all channels.;重新调整所有频道的曲线调整 。
Units of measurement used for this scene.;本场景使用的测量单位.
A custom scale factor that will apply to all measurements in this scene.;适用于此场景中所有测量的自定义尺度因子 。
Use unit information in imported files for proper unit conversion upon import. Disable this to override file units with the "Imported" unit setting.;使用进口文件中的单位信息,在进口时进行适当的单位转换. 禁用以“ 导入” 单位设置覆盖文件单元 。
Determines whether or not objects in the scene occlude light.;确定场景中的物体是否为光线。
Determines whether or not this light casts lens flare.;决定此光是否投射镜头照明弹.
Sets the lens flare strength of the light.;设定光线的镜头耀斑强度.
Sets the color and intensity of the light.;设置光线的颜色和强度。
Enables the use of temperature to adjust light color.;允许使用温度来调整光色。
Produces a color tint based on the black body radiation temperature, in degrees Kelvin. This result is multiplied with the light color.;根据黑色身体辐射温度,以开尔文度制成一种颜色锡. 此结果与光色相乘.
Select from a list of preset color temperatures, calibrated to common light sources.;从预设的颜色温度列表中选择,校准为常见的光源.
Determines the geometry of the light source.;确定光源的几何形状。
Sets how large the light source is, which in turn defines how blurry the shadows are.;设定光源的大小,进而定义阴影的模糊度.
Sets how much the light is stretched along the X axis, useful for creating non-spherical lights such as fluorescent tube lighting.;设定光线沿X轴被拉长多少,用于创建荧光管照明等非球形灯光.
Sets how much the light is stretched along the Y axis, useful for creating non-spherical lights such as fluorescent tube lighting.;设定沿Y轴的光线拉长多少,用于创建荧光管照明等非球形灯光.
Cast light from both sides of the rectangle.;从矩形两侧铸造光.
Makes the light shape size only affect shadow softness and not the amount of emitted light.;使光的形状大小只影响阴影软度,而不是射出的光量.
Sets whether or not the light shape shows up in the rendered image.;设定亮度形状是否出现在渲染的图像中 。
Sets the width of the spot light cone. This setting only applies when light type is set to "Spot".;设置点光锥的宽度。 此设置仅适用于光类型设定为"Spot"时.
Sets the softness of the spot light cone. This setting only applies when light type is set to "Spot".;设置点光锥的柔软度. 此设置仅适用于光类型设定为"Spot"时.
Loads an image to mask the light shape.;装入图像以掩盖光线形状。
Sets how many times the gel image repeats.;设定凝胶图像重复的次数 。
Determines whether or not the mesh occludes light.;确定网状是否为光线。
Determines whether or not the backsides of polygons are drawn. This should be disabled for meshes such as alpha planes which require both sides to be visible.;确定多边形的背面是否被绘制。 这对中间体如α飞机来说应该被禁用,它们要求双方可见.
Selects a tangent space algorithm for this mesh. This selection should match the convention in which a normal map was baked.;选择此网格的正切空间算法 。 这种选择应当与烤制普通地图的公约相匹配。
Attempts to fix any issues arising from mirrored tangent spaces. Issues may arise on meshes with mirrored UVs.;试图解决来自镜像中切合空间的任何问题。 镜像的紫外线可能出现问题。
Adaptively removes redundant polygons in the subdivided result, resulting in a similar mesh with fewer polygons.;适应性地去除细分结果中的冗余多边形,导致类似网状,多边形较少.
Selects the wireframe display for subdivided meshes.;选择子网格显示的线框。
This option will retain the shape of open edges in Catmull-Clark mode.;此选项将在 Catmull- Clark 模式中保留开放边缘的形状 。
The number of repeated subdivision steps.;复次次分步骤数.
Enables mesh subdivision, creating a higher resolution version of the original mesh.;启用 mesh 子分区,创建一个分辨率更高的原 mesh 版本.
Loads a custom sky light background, which will also be used to light the scene. Use a 360 degree panoramic HDR image for best results.;装入自定义的天光背景,它也会用来点亮场景. 使用360度全景HDR图像获取最佳效果.
Exports the current sky to a .tbsky archive.;导出当前天空到 . tbsky 存档 。
Exports the current sky to the library.;导出当前天空到库中 。
Opens the sky library for a handy selection of sky presets.;打开天空库,以方便选择天空预设。
Sets the exposure of the image-based lighting, child lights, and background image.;设定基于图像的照明,儿童灯光,和背景图像的曝光.
Sets the exposure of child lights in relation to the master sky brightness setting.;设定与主天亮度设定相关的儿童灯光曝光。
Toggles importance sampling of sky light image. Disabling this option can increase ray tracing performance at the expense of sky lighting quality.;切换天光图像的重要采样 。 禁用此选项可以提高射线追踪性能,而牺牲天空照明质量.
Gives a preview of the current sky lighting image, and allows creation (left click) movement (left button drag) and deletion (right click) of child lights.;给出当前天空照明图像的预览,并允许创建(左键点击)移动(左键拖动)和删除(右键点击)儿童灯.
Multiplies the exposure of specific values in the sky light image, which is useful for controlling contrast by making highlights brighter or darker.;乘以天光图像中特定值的曝光量,通过使亮度更亮或更暗来控制对比度是有用的.
Sets the exposure point for the selective brightness effect. For instance, a value of 2 means that areas that are brighter than 2 will be affected.;设置选择性亮度效应的曝光点。 例如,2值意味着比2更亮的区域将受到影响。
Sets the intensity of the selective brightness effect. Values lower than 1 will darken the image content, while values higher than 1 will brighten it.;设置选择性亮度效应的强度。 低于1的值会暗化图像内容,而高于1的值会亮化图像内容.
Removes any selective brightness alterations.;删除任何选择性亮度修改。
Applies the current settings for selective brightening.;应用当前设置来选择亮度。
Sets the color of the background. This setting only applies when the backdrop mode is set to "Color".;设置背景颜色。 此设置仅在背景模式设定为"Color"时才适用.
Controls how blurry the background image is. This setting only applies when the backdrop mode is set to "Blurred Sky".;控制背景图像的模糊度 。 此设置仅在背景模式设定为"Blurred Sky"时才适用.
Location settings for specifying the scene's point on the earth.;指定地上场点的位置设置 。
Degrees latitude on earth, from -90 south to 90 north.;地球上的纬度,从南-90到北90.
Degrees longitude on earth, from -180 west to 180 east.;地球上的经度,从西-180到东180.
Automatically computes a rough estimate of the time zone setting when longitude is changed.;自动计算经度变化时的时区设置的粗略估计。
Time zone, specified as hours relative to Universal Coordinated Time (UTC).;时区,指相对于通用坐标时间(UTC)的时数.
The time of day, as HH:MM. Generally hours run from 0 to 23, though values above this range will work too. This time is specified in the current time zone.;时间,作为HH:MM. 时间一般从0小时到23小时不等,尽管超过这个范围的数值也会起作用. 此时间由当前时区指定.
The month of the year, from 1 to 12. This affects the seasonal position of the sun.;每年的月份,从1到12. 这影响了太阳的季节性位置.
The day of the month. This affects the seasonal position of the sun.;月日时. 这影响了太阳的季节性位置.
A multiplier on the brightness of the sun, relative to the sky. A value of 1 is most accurate, but lower values can sometimes be easier to work with.;乘于阳明,相对于天. 1的值是最准确的,但较低的值有时可以更容易使用.
A multiplier on the apparent size of the sun, as seen from earth. A value of 1 is most accurate.;从地球上看到的太阳表面大小的乘数。 1的值是最准确的.
Controls the amount of particulate matter in the atmosphere, which will affect the appearance of scattered light in the sky.;控制大气中微粒物质的数量,这将影响天空中散射光的出现.
A pair of colors specifies the appearance of the ground plane near the scene and toward the horizon, respectively.;一对颜色分别指定了地面平面靠近场景和向地平线的外观.
Shifts the color temperature of the sun and sky.;移动日空的颜色温度。
Shifts the color balance of the sun and sky, being complementary to white balance.;移动日空的颜色平衡,是对白平衡的补充.
Adjusts the intensity of colors in the sun and sky.;调整太阳和天空颜色的强度。
The color of the fog medium.;雾介质的颜色.
Determines how dense if the fog medium.;确定雾介质的密度。
This is the maximum occlusion the medium can provide, regardless of distance.;这是介质所能提供的最大隔离,无论距离如何.
The mode of the fog volume.;雾量模式.
Determines the scattering color of light passing through the object.;确定通过对象的光线的散射颜色。
The height of the bottom boundary of the fog.;雾底边界的高度.
Height range that the fog occupies.;雾占据的高度范围。
The height of the top boundary of the fog.;雾顶边界的高度.
Point at which the bottom falloff ends.;最底层坠落结束的点。
The range of fog falloff.;雾降范围.
Point at which the top falloff start.;顶部坠落开始的点
The path to the external model file. Toolbag will modify this path to be relative to the Toolbag scene file, when possible.;外部模型文件的路径 。 Toolbag将在可能时修改此路径以相对 Toolbag 场景文件.
Browse for a new external model file. This will clear and reload the contained scene objects from disk.;浏览新的外部模型文件 。 这将清除并重新装入磁盘中包含的场景对象 。
Enables realtime automatic reloading of this model file.;启用此模型文件的实时自动重载 。
Move all parts back to original position when reloading the model - disable to retain user edits to sub-parts.;重新装入模型时将所有部件回移到原位置 - 禁用将用户编辑保留到子部件 。
Forces a reload of the external model file.;强制重装外部模型文件 。
Clears the animation rotation value.;清除动画旋转值。
An image to present in the background of the rendered scene. Backdrops apply only to cameras under which they have been parented.;显示在已渲染场景背景中的图像 。 后空投只适用于其被父化的相机 。
Determines whether to use the alpha channel of the provided image for transparency.;确定是否使用所提供图像的α通道实现透明。
Selects an overall opacity for the backdrop image.;为背景图像选择总体不透明。
Sets the opacity of the received shadows.;设置接收阴影的不透明性。
Fades shadows out near the edges of the shadow catcher.;浮影笼罩在捕影者的边缘
A texture to mask the fade effect over the surface of the shadow catcher.;遮蔽阴影捕捉器表面的淡出效应的纹理.
Selects which color channel from the Fade texture to use.;选择要使用的淡出纹理的颜色通道。
Radius of the edge fade effect.;边缘的半径变淡效应.
Falloff of the edge fade effect.;边缘脱落 淡出效应。
Enables receiving shadow from the sky light (ray tracing only).;启用接收来自天光的阴影( 只有光线跟踪) 。
Enables receiving reflections and bounced lighting from nearby objects (ray tracing only).;允许接收来自附近物体的反射和反射光线(只有光线跟踪).
Enables turntable rotation during animation playback.;在动画回放时启用旋转式旋转 。
Rate at which the turntable and its sub-objects will rotate, in degrees per second.;旋转台及其子物体旋转的速度,以每秒度计。
Select a subroutine for this part of the material shader.;为这部分材料阴影选择一个子例程。
Select a blend mode for this part of the material layer.;为这部分材料层选择混合模式。
Determines how UV coordinates are stored (UV, UDIM) or generated (Triplanar).;确定紫外线坐标的存储方式(UV,UDIM)或生成方式(Triplanar).
Controls which UV channel will be used for texture sampling.;用于纹理取样的紫外线通道控制器。
Controls the scale by which UV texture coordinates are scaled. Higher values result in more tilling.;控制紫外线纹理坐标的缩放规模。 较高的价值导致更多的耕作。
Controls the amount of horizontal texture tiling.;控制水平纹理板的量。
Controls the amount of vertical texture tiling.;控制垂直纹理板的量。
Specifies a horizontal texture offset.;指定横向纹理偏移。
Specifies a vertical texture offset.;指定垂直纹理偏移。
Specifies a texture rotation.;指定纹理旋转。
Sets the degree of anisotropic filtering applied to this material. Higher values look better but may reduce performance.;设定适用于这种材料的异同位素过滤程度。 较高的值看起来更好,但可能降低性能。
Enables texel filtering for this material. Results in sharp "pixelated" texel borders when disabled.;启用此材料的 Texel 过滤 。 禁用时在尖锐的“ pixeled” texel 边框中产生结果 。
Sets how sharp or soft the transition between the different axes or projection planes is.;设定不同轴或投影平面之间的过渡有多尖锐或柔和.
Albedo or diffuse color map input for standard materials.;标准材料的 Albedo 或 扩散色图输入.
The texture that will be used to control the albedo or diffuse color.;用来控制反照率或扩散颜色的纹理。
Sets the albedo or diffuse color.;设置反照率或扩散颜色。
Albedo or diffuse map input with support for vertex colors.;支持顶点颜色的 Albedo 或 扩散地图输入。
Determines whether vertex color information is sRGB corrected or used as linear space.;确定顶点颜色信息是否被 SRGB 校正或用作线性空间。
Enables use of the vertex alpha channel, which is used as an alpha mask for transparency when "Alpha from Albedo" is enabled in a Transparency shader.;启用顶点α通道,当“Alpha from Albedo”在透明阴影器中启用时,该通道被用作透明化的α掩码。
A texture that controls the brightness and color of the sheen effect.;一种控制羊舍效应的亮度和颜色的纹理.
Adjusts the brightness of microfiber sheen, a view-dependent reflection effect.;调整微纤维谢恩的亮度,一种视线依赖的反射效果.
The color of the sheen effect.;谢恩效应的颜色.
Modifies the extent to which sheen color combines with the final effect.;修改羊色与最终效果结合的程度.
A texture which specifies roughness for the purpose of microfiber shading. Roughness will affect the shape and size of the sheen highlights.;用于微纤维阴影的纹理。 粗糙会影响雪莲亮度的形状和大小.
Selects the color channel used in the roughness map.;选择粗糙度图中使用的颜色通道。
Adjusts the microfiber roughness to affect the shape and size of sheen highlights.;调整微纤维粗糙度以影响 Sheen 亮度的形状和大小。
Inverts the roughness values, providing the opposite appearance.;颠倒粗糙值,提供相反的外观.
Standard displacement mapping, which uses a grayscale heightmap to displace geometry inwards and outwards.;标准迁移图,使用灰度高度图将几何图向内和向外迁移.
Determines which channel in the displacement map will be used.;确定将使用迁移图中的哪个通道 。
The texture that will be used to control displacement intensity and direction.;用于控制流离失所强度和方向的纹理。
Sets the intensity of the displacement effect.;设定迁移效应的强度。
Sets whether the displacement map is applied relative to the bounding box scale. If disabled, absolute scale in scene units is used.;设定移位图相对于边框缩放是否应用。 如果禁用,则使用场景单位的绝对尺度.
Adjusts the contrast of the height map.;调整高度图的对比度。
Adjusts the values used for the contrast center of the height map.;调整用于高度图对比中心的数值。
Offsets the map contents.;偏移地图内容。
Merge shared vertices along UV seams using the averaged position.;用平均位置将紫外线接合线上的共享顶点合并起来。
Generate fresh surface normals using the displaced vertices.;利用流转的顶点产生新鲜的表面常态.
Vector displacement mapping can displace geometry inwards, outwards and in multiple directions via the use of a colored vector displacement map.;通过使用彩色矢量迁移图,向内、向外和从多个方向取代几何图形。
Sets whether the vector displacement map uses tangent or world space.;设定矢量移位图是否使用切换或世界空间 。
Inverts the content in the X axis or red channel of the texture.;反转纹理的X轴或红色通道中的内容。
Inverts the content in the Y axis or green channel of the texture.;反转纹理的Y轴或绿色通道中的内容。
Inverts the content in the Z axis or blue channel of the texture.;颠倒纹理的Z轴或蓝色通道中的内容.
Sets whether the displacement map is applied relative to the bounding box scale. If disabled, absolute scale is used.;设定移位图相对于边框缩放是否应用。 如果禁用,则使用绝对尺度.
When enabled emission is attenuated by the clearcoat layer so that it looks like it's coming from inside the object.;当允许的释放被 清除层减轻, 使它看起来像它来自物体内部。
The texture that will be used to blend between "Temperature" and "Minimum Temperature".;用于混合"温度"和"最低温度"的纹理.
Sets the strength of the heat effect.;设置热效应的强度.
Sets the temperature, in degrees kelvin, which determines the brightness and color of the light emitted.;设置温度, 单位为 kelvin 度, 以决定所射光的亮度和颜色 。
Determines the value that black is mapped to in the texture, which sets the minimum brightness of the light emission.;确定黑色在纹理中被映射的值,该纹理设定了光排放的最低亮度.
The emissive model allows you to load a brightness or glow texture to define areas of your material that emit light.;发射模型允许您加载亮度或发光纹理来定义您物质中放光的区域.
The texture that will be used to control the emissive or glow effect.;用来控制发射或发光效应的纹理.
Sets the emissive intensity and color.;设置发射强度和颜色。
Sets the intensity of the emissive or effect.;设定发射效果的强度。
Determines which UV channel the emissive map makes use of.;确定发送地图使用的紫外线通道。
Specifies the color of the fluorescence effect. Fluorescent materials emit light when absorbing nonvisible wavelengths, such as ultraviolet.;指定荧光效果的颜色。 荧光材料在吸收紫外线等非可见波长时会发光.
Determines whether to treat sky light as a source of activating illumination.;确定是否将天空光作为激活照明的来源。
Determines whether to treat direct light as a source of activating illumination.;确定是否将直接光作为激活照明的源头。
Specifies how sparse or densely populated the glint flakes are.;指定闪烁片的密度或密度。
Specifies the intensity of the glint effect. Values darker than white fade to Beckmann reflections.;指定格林特效应的强度。 价值比白人更暗淡 贝克曼反射。
Determines the channel of the texture from which to read the glint map content.;确定读取glint地图内容的纹理通道。
The texture used to control the intensity of the glint effect. Values darker than white fade to Beckmann reflections.;纹理用来控制glint效应的强度. 价值比白人更暗淡 贝克曼反射。
Sets the glint roughness value, 1 corresponds to rough reflections, while 0 corresponds to smooth reflections.;设置glint粗糙值,1对应粗糙反射,0对应平滑反射.
Determines the channel of the texture from which to read the glint roughness map content.;确定读取 glint 粗糙度图内容的纹理通道。
The texture used to specify glint roughness. White corresponds to rough glints, while black corresponds to smooth glints.;用于指定glint粗糙度的纹理. 白色对应粗糙的胶原,黑色对应光滑的胶原.
Specifies the size of the glint flakes.;指定闪烁片的大小。
When enabled the glint roughness is synchronized with the roughness or gloss settings.;当启用 glint 粗糙度与粗糙度或光滑度设置同步 。
Specifies the maximum gloss value.;指定最大光泽值。
The texture used to control glossiness or roughness. White corresponds to smooth surfaces while black corresponds to rough surfaces.;纹理用来控制光泽或粗糙. 白色对应平滑表面,黑色对应粗糙表面.
Determines the channel of the texture from which to read gloss or roughness content.;确定用于读取光泽或粗糙内容的纹理的通道。
Sets the glossiness value, 1 corresponds to smooth surfaces while 0 corresponds to rough surfaces.;设置光泽值, 1 对应平滑表面, 0对应粗糙表面.
Specifies the maximum roughness value.;指定最大粗糙度值。
The texture used to specify surface roughness. White corresponds to a rough surface while black corresponds to smooth surfaces.;用于指定表面粗糙度的纹理. 白色对应粗糙的表面,而黑色对应光滑的表面.
Determines the channel of the texture from which to read roughness content.;确定用于读取粗糙度内容的纹理通道。
Inverts the output of the roughness shader. Useful for loading gloss maps in place of roughness maps.;倒置粗糙阴影器的输出 。 用于加载光泽图以代替粗糙度图。
The texture used to specify microsurface detail. This map can be used as either smoothness or roughness.;用于指定微表面细节的纹理 。 这张地图既可以是光滑的,也可以是粗糙的.
Determines the channel of the texture from which to read microsurface values.;确定用于读取微表面值的纹理通道。
Specifies the maximum microsurface value. Values from the texture are scaled to be no greater than this value.;指定最大微表面值。 纹理值的缩放不大于此值.
Specifies the minimum microsurface value. Values from the texture are shifted to be no less than this value.;指定最小的微表面值。 纹理的值被转换为不低于这个值.
Sets the intensity of the horizon smoothing effect, which increases the apparent smoothness of the material at extreme angles.;设置地平线平滑效果的强度,这可以提高材料在极端角度上的表面平滑度.
The texture that will be used to control glossiness or roughness. White corresponds to smooth surfaces while black corresponds to rough surfaces.;用于控制光泽或粗糙的纹理. 白色对应平滑表面,黑色对应粗糙表面.
Determines the channel of the texture from which to read the gloss or roughness content.;确定用于读取光泽或粗糙内容的纹理的通道。
Inverts the content of the gloss map. Useful for loading roughness maps where white corresponds to rough surfaces while black corresponds to smooth surfaces.;颠倒光泽图的内容. 用于装入粗糙度图,其中白色对应粗糙表面,黑色对应平滑表面.
The occlusion model allows you to load ambient occlusion and cavity maps, ideal for any material that has crevices which would block light.;闭塞模型允许您加载环境闭塞和腔图, 对于任何有会阻断光线的裂缝的材料来说是理想的。
The texture that will be used to control the ambient occlusion effect, which uses a grayscale map to occlude ambient diffuse sky light.;用于控制环境封存效应的纹理,它使用灰色比例图来覆盖环境扩散的天空光.
Determines which channel of the texture will be used for the ambient occlusion map.;确定环境闭合图将使用哪条纹理通道。
Determines which UV channel the ambient occlusion map makes use of.;确定环境隔离图使用的紫外线通道。
Determines which vertex color channel is used for ambient occlusion content.;确定哪个顶点颜色通道用于环境隔离内容。
The texture that will be used to control the cavity effect, which uses a grayscale map to occlude diffuse and specular light.;用来控制腔内效应的纹理,它使用灰色比例图来覆盖扩散和光谱光.
Determines which channel of the texture will be used for the cavity map content.;确定纹理的哪个通道将被用于腔图内容。
Determines how much influence the cavity map has on diffuse light.;确定腔图对扩散光的影响力有多大.
Determines how much influence the cavity map has on specular reflections.;确定腔图对光谱反射的影响有多大.
Determines which channel of the curvature map is used. This setting only applies in grayscale mode.;确定使用曲率图的通道。 此设置只在灰度模式下适用 。
Adjusts the scale of the curvature values.;调整曲率值的尺度。
Sets the mask value that determines the strength of transmission. When a mask map is loaded this value should be set to 1.;设置决定传输强度的遮罩值。 当一个掩码映射被装入时,此值应设置为 1 。
The texture that will be used to set the mask value. Brighter pixels correspond to stronger transmission.;用于设置遮罩值的纹理 。 更亮的像素对应更强的传输.
Determines which channel of the texture will be used for the transmission mask.;确定用于传输罩的纹理通道。
Inverts the mask value so that darker pixels correspond to stronger transmission.;反转遮罩值,使较暗的像素对应更强的传输.
Uses the material's albedo alpha value to provide a transmission mask.;用材料的反照率α值来提供传输罩.
A texture which controls scatter depth and color, as a proportion of the Scatter Depth setting.;用于控制散射深度和颜色的纹理,占散射深度设置的比例。
Specifies the distance light will scatter in this material. This value is specified in millimeters; using accurate scene scale is advised.;指定在此材料中散射的距离。 此值以毫米表示;建议使用准确的场景尺度。
Determines the scatter color.;确定散点颜色。
A texture used to mask and color the fuzz effect.;一种用于遮盖和涂色模糊效果的纹理.
Controls the strength of the "fuzz" effect, which approximates the appearance of fine hairs.;控制"fuzz"效应的强度,这大致相当于细毛的外观.
Determines the color of the fuzz effect.;确定模糊效果的颜色。
Masks the fuzz appearance with the material gloss value.;遮盖模糊的外表 与物质光泽值。
Determines the primary direction of scattering, either forwards or backwards. A value of zero is even, isotropic scattering.;确定向前或向后分散的主要方向。 零值是均匀的,异热带散射。
A color tint for light passing through the object.;光通过物体的颜色 。
Uses the material's albedo to provide refraction tint.;利用材料的反照率提供折射锡.
The texture that will be used to set the index of refraction value.;用于设定折射值索引的纹理 。
Sets the index of refraction. Higher values will distort light to a greater degree but won't affect surface reflectivity.;设置折射索引。 更高的值会扭曲光度更高,但不会影响表面反射率.
Automatically derive index of refraction from Reflectivity. Uncheck this box to override with index value below.;从Reflective自动获取折射指数. 取消选中此项以覆盖下方的索引值 。
Lower values limit the distortion effect in rasterized views, which is often useful for thin lenses. This setting does not affect ray traced renders.;较低的值限制了光栅化视图中的扭曲效果,这往往对薄镜头有用. 此设定不影响追踪到的射线。 Name
Controls the amount of scattering of light passing through the object.;控制通过物体的光的散射量。
A texture which modulates the scattering color of light passing through the object.;调制光穿过物体的散射颜色的纹理。
Modifies refraction roughness. Positive values make refraction more rough than reflection, while negative values make refraction less rough than reflection.;修补逆顺粗. 正面值使折射比反射更粗糙,而负面值使折射比反射更粗糙.
Specifies the primary direction of scattering, either forwards or backwards. A value of zero is even, isotropic scattering.;指定向前或向后分散的主要方向。 零值是均匀的,异热带散射。
A texture specifying the brightness and color of light passing through from the opposite side of the object.;指定从物体对面穿过的光的亮度和颜色的纹理。
Tints the translucency effect.;微小的半透明效应。
Uses the material's albedo color for translucency.;使用材料的反照率颜色进行透明.
Determines the amount of light scattering inside the surface.;确定在表面内散射的光量。
A texture that controls the radial roughness of the hair.;一种控制毛发光线粗糙的纹理.
Determines which channel of the texture will be used for the radial roughness map content.;确定纹理的哪个通道将用于射线粗糙度图的内容.
Applies a color tint to the hair.;在头发上应用一种颜色
Shifts the highlights along the hair strand.;沿发线移动亮点。
